PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2024-12-31,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,SEEK LTD.,-,SEK AU,-,,"13,589","$306,708",0.10%,
LISTED EQUITY,-,-,-,-,ORICA LTD.,-,ORI AU,-,,"18,376","$304,670",0.10%,
LISTED EQUITY,-,-,-,-,"AMGEN, INC.",-,AMGN US,-,,720,"$303,050",0.10%,
LISTED EQUITY,-,-,-,-,PROGRESSIVE CORP.,-,PGR US,-,,781,"$302,446",0.10%,
LISTED EQUITY,-,-,-,-,"LOWE'S COS., INC.",-,LOW US,-,,758,"$302,017",0.10%,
LISTED EQUITY,-,-,-,-,UNION PACIFIC CORP.,-,UNP US,-,,815,"$300,202",0.10%,
LISTED EQUITY,-,-,-,-,SONY GROUP CORP.,-,6758 JP,-,,"8,587","$297,295",0.10%,
LISTED EQUITY,-,-,-,-,"APPLIED MATERIALS, INC.",-,AMAT US,-,,"1,117","$293,386",0.09%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"2,566","$291,733",0.09%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"1,484","$289,647",0.09%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,718,"$289,135",0.09%,
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"1,968","$283,947",0.09%,
LISTED EQUITY,-,-,-,-,BENDIGO & ADELAIDE BANK LTD.,-,BEN AU,-,,"21,640","$283,487",0.09%,
LISTED EQUITY,-,-,-,-,EATON CORP. PLC,-,ETN US,-,,524,"$280,996",0.09%,
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"18,494","$278,888",0.09%,
LISTED EQUITY,-,-,-,-,CONOCOPHILLIPS,-,COP US,-,,"1,739","$278,590",0.09%,
LISTED EQUITY,-,-,-,-,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",-,8306 JP,-,,"14,647","$277,869",0.09%,
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP CN,-,,"1,595","$273,905",0.09%,
LISTED EQUITY,-,-,-,-,BOEING CO.,-,BA US,-,,957,"$273,595",0.09%,
LISTED EQUITY,-,-,-,-,STRYKER CORP.,-,SYK US,-,,464,"$269,959",0.09%,
LISTED EQUITY,-,-,-,-,"BLACKSTONE, INC.",-,BX US,-,,962,"$267,928",0.09%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"29,835","$267,618",0.09%,
LISTED EQUITY,-,-,-,-,AMPOL LTD.,-,ALD AU,-,,"9,213","$259,701",0.08%,
LISTED EQUITY,-,-,-,-,"ARISTA NETWORKS, INC.",-,ANET US,-,,"1,452","$259,250",0.08%,
LISTED EQUITY,-,-,-,-,"AUTOMATIC DATA PROCESSING, INC.",-,ADP US,-,,541,"$255,839",0.08%,
LISTED EQUITY,-,-,-,-,QUBE HOLDINGS LTD.,-,QUB AU,-,,"64,369","$255,546",0.08%,
LISTED EQUITY,-,-,-,-,ALLIANZ SE,-,ALV GR,-,,516,"$255,150",0.08%,
LISTED EQUITY,-,-,-,-,"FISERV, INC.",-,FI US,-,,764,"$253,537",0.08%,
LISTED EQUITY,-,-,-,-,"BLOCK, INC.",-,SQ2 AU,-,,"1,787","$251,965",0.08%,
